Critical Section Name:,# of method calls in first level,total # of method calls,# of synchronized method calls in first level,total # of sync method calls,Growth from first level,Number of allocations in first level,Total # of allocations,Growth from first level,total # lines of IR
"<generator.BackgroundGenerator: int getAnz()>",0,0,0,0,0.0,0,0,0.0,0
"<generator.BackgroundGenerator: void setAnz(int)>",0,0,0,0,0.0,0,0,0.0,0
"<generator.BackgroundGeneratorThread: java.lang.String getSudoku(sudoku.DifficultyLevel,sudoku.GameMode)>",2,15990,0,340,0.99987495,0,3874,1.0,72229
"<generator.BackgroundGeneratorThread: void resetAll()>",3,31915,1,676,0.999906,0,7732,1.0,143989
"<generator.BackgroundGeneratorThread: void resetTrainingPractising()>",5,31939,0,678,0.9998435,0,7740,1.0,144186
"<generator.BackgroundGeneratorThread: void run()>",23,191493,1,4057,0.9998799,0,46392,1.0,864039
"<generator.BackgroundGeneratorThread: void setNewLevel(int)>",8,63854,0,1354,0.9998747,0,15472,1.0,288188
"<generator.BackgroundGeneratorThread: void setSudoku(sudoku.DifficultyLevel,sudoku.GameMode,java.lang.String)>",1,15963,0,338,0.99993736,0,3866,1.0,72021
"<generator.BackgroundGeneratorThread: void startCreation()>",1,1,0,0,0.0,0,0,0.0,0
"<generator.SudokuGeneratorFactory: generator.SudokuGenerator getInstance()>",6,39,0,1,0.84615386,2,20,0.90909094,244
"<generator.SudokuGeneratorFactory: void giveBack(generator.SudokuGenerator)>",4,4,0,0,0.0,0,0,0.0,0
"<solver.SudokuSolverFactory: solver.SudokuSolver getInstance()>",6,15986,0,338,0.99962467,2,3882,0.9994851,72143
"<solver.SudokuSolverFactory: void giveBack(solver.SudokuSolver)>",4,4,0,0,0.0,0,0,0.0,0
"<solver.TablingSolver: java.util.List getAllForcingChains()>",15,57321,1,1115,0.99973834,2,14006,0.99985725,262711
"<solver.TablingSolver: java.util.List getAllForcingNets()>",15,57321,1,1115,0.99973834,2,14006,0.99985725,262711
"<solver.TablingSolver: java.util.List getAllGroupedNiceLoops()>",15,56630,0,1115,0.9997351,2,13867,0.9998558,259780
"<solver.TablingSolver: java.util.List getAllNiceLoops()>",13,40674,0,777,0.9996804,2,10001,0.9998001,187791
"<solver.TablingSolver: sudoku.SolutionStep getNiceLoops()>",6,37513,0,721,0.9998401,1,9237,0.99989176,172325
"<solver.TablingSolver: void cleanUp()>",3,3,0,0,0.0,0,0,0.0,0
"<solver.TablingSolver: void getForcingChains()>",2,37709,0,719,0.99994695,0,9166,1.0,171391
"<solver.TablingSolver: void getForcingNets()>",2,37709,0,719,0.99994695,0,9166,1.0,171391
"<sudoku.BackdoorSearchDialog: boolean isFinished()>",0,0,0,0,0.0,0,0,0.0,0
"<sudoku.BackdoorSearchDialog: int getAnzFound()>",0,0,0,0,0.0,0,0,0.0,0
"<sudoku.BackdoorSearchDialog: int getProgressBarAct()>",0,0,0,0,0.0,0,0,0.0,0
"<sudoku.BackdoorSearchDialog: int getProgressBarMax()>",0,0,0,0,0.0,0,0,0.0,0
"<sudoku.BackdoorSearchDialog: java.lang.String getProgressLabelString()>",0,0,0,0,0.0,0,0,0.0,0
"<sudoku.BackdoorSearchDialog: void incAnzFound()>",0,0,0,0,0.0,0,0,0.0,0
"<sudoku.BackdoorSearchDialog: void setAnzFound(int)>",0,0,0,0,0.0,0,0,0.0,0
"<sudoku.BackdoorSearchDialog: void setFinished(boolean)>",0,0,0,0,0.0,0,0,0.0,0
"<sudoku.BackdoorSearchDialog: void setProgressBarAct(int)>",0,0,0,0,0.0,0,0,0.0,0
"<sudoku.BackdoorSearchDialog: void setProgressBarMax(int)>",0,0,0,0,0.0,0,0,0.0,0
"<sudoku.BackdoorSearchDialog: void setProgressLabelString(java.lang.String)>",0,0,0,0,0.0,0,0,0.0,0
"<sudoku.ExtendedPrintProgressDialog: boolean isJobAborted()>",0,0,0,0,0.0,0,0,0.0,0
"<sudoku.ExtendedPrintProgressDialog: int getPercentage()>",0,0,0,0,0.0,0,0,0.0,0
"<sudoku.ExtendedPrintProgressDialog: void run()>",1,2,0,0,0.5,0,0,0.0,3
"<sudoku.ExtendedPrintProgressDialog: void setJobAborted(boolean)>",0,0,0,0,0.0,0,0,0.0,0
"<sudoku.ExtendedPrintProgressDialog: void setPercentage(int)>",0,0,0,0,0.0,0,0,0.0,0
"<sudoku.ExtendedPrintProgressDialog: void showMessageDialog()>",1,1,0,0,0.0,0,0,0.0,0
"<sudoku.MainFrame: int getCurrentScore()>",0,0,0,0,0.0,0,0,0.0,0
"<sudoku.MainFrame: sudoku.DifficultyLevel getCurrentLevel()>",0,0,0,0,0.0,0,0,0.0,0
"<sudoku.MainFrame: void setCurrentLevel(sudoku.DifficultyLevel)>",0,0,0,0,0.0,0,0,0.0,0
"<sudoku.MainFrame: void setCurrentScore(int)>",0,0,0,0,0.0,0,0,0.0,0
"<sudoku.ProgressChecker: void run()>",3,36,0,0,0.9166667,0,0,0.0,467
"<sudoku.ProgressChecker: void startCheck(sudoku.Sudoku2)>",2,12,0,0,0.8333333,0,0,0.0,70
-,=SUM(B2:B44),=SUM(C2:C44),=SUM(D2:D44),=SUM(E2:E44),=AVERAGE(F2:F44),=SUM(G2:G44),=SUM(H2:H44),=AVERAGE(I2:I44),=SUM(J2:J44)
