Critical Section Name:,# of method calls in first level,total # of method calls,# of synchronized method calls in first level,total # of sync method calls,Growth from first level,Number of allocations in first level,Total # of allocations,Growth from first level,total # lines of IR
"<com.izforge.izpack.adaptator.impl.XMLParser$ByteBufferInputStream: int read()>",2,2,0,0,0.0,0,0,0.0,8
"<com.izforge.izpack.adaptator.impl.XMLParser$ByteBufferInputStream: int read(byte[],int,int)>",4,17,0,1,0.7647059,0,8,1.0,93
"<com.izforge.izpack.compiler.CompilerException: java.lang.Throwable initCause(java.lang.Throwable)>",2,14,0,2,0.85714287,2,8,0.8,68
"<com.izforge.izpack.gui.FlowLayout: void layoutContainer(java.awt.Container)>",12,39368,0,777,0.9996952,0,9054,1.0,188770
"<com.izforge.izpack.gui.FlowLayout: void moveComponents(java.awt.Container,int,int,int,int,int,int,boolean)>",9,26239,0,518,0.999657,0,6044,1.0,125779
"<com.izforge.izpack.installer.LoggedInputStream: void mark(int)>",1,1,1,0,0.0,0,0,0.0,3
"<com.izforge.izpack.installer.LoggedInputStream: void reset()>",1,7,1,1,0.85714287,0,4,1.0,34
"<com.izforge.izpack.installer.ProcessPanelWorker$ExecutableFile$OutputMonitor: void doStop()>",1,1,0,0,0.0,0,0,0.0,6
"<com.izforge.izpack.installer.ProcessPanelWorker$ExecutableFile$OutputMonitor: void run()>",1,1,0,0,0.0,0,0,0.0,3
"<com.izforge.izpack.installer.UninstallData: com.izforge.izpack.installer.UninstallData getInstance()>",1,366,0,10,0.9972678,1,128,0.99224806,3197
"<com.izforge.izpack.installer.UninstallData: java.lang.String getUninstallerJarFilename()>",0,0,0,0,0.0,0,0,0.0,0
"<com.izforge.izpack.installer.UninstallData: void addExecutable(com.izforge.izpack.ExecutableFile)>",1,1,0,0,0.0,0,0,0.0,0
"<com.izforge.izpack.installer.UninstallData: void addFile(java.lang.String,boolean)>",2,2,0,0,0.0,0,0,0.0,0
"<com.izforge.izpack.installer.UninstallData: void setUninstallerJarFilename(java.lang.String)>",0,0,0,0,0.0,0,0,0.0,0
"<com.izforge.izpack.installer.UnpackerBase: boolean isDiscardInterrupt()>",0,0,0,0,0.0,0,0,0.0,0
"<com.izforge.izpack.installer.UnpackerBase: void addToInstances()>",1,145,0,0,0.99310344,0,13,1.0,1081
"<com.izforge.izpack.installer.UnpackerBase: void removeFromInstances()>",1,9,0,0,0.8888889,0,0,0.0,90
"<com.izforge.izpack.installer.UnpackerBase: void setDiscardInterrupt(boolean)>",1,1,0,0,0.0,0,0,0.0,3
"<com.izforge.izpack.installer.UnpackerBase: void setInterruptAll()>",8,166,0,0,0.9518072,0,18,1.0,1230
"<com.izforge.izpack.LocaleDatabase: com.izforge.izpack.LocaleDatabase getLocaleDatabase()>",3,11848,1,172,0.9997468,0,3038,1.0,56498
"<com.izforge.izpack.LocaleDatabase: com.izforge.izpack.LocaleDatabase getLocaleDatabase(java.lang.String)>",1,8294,1,106,0.9998794,0,2165,1.0,39255
"<com.izforge.izpack.LocaleDatabase: com.izforge.izpack.LocaleDatabase getLocaleDatabase(java.lang.String,boolean)>",10,19282,4,257,0.9994814,2,4947,0.9995959,92156
"<com.izforge.izpack.util.ConsoleTextArea: void insertUpdate(javax.swing.event.DocumentEvent)>",2,2,0,0,0.0,0,0,0.0,0
"<com.izforge.izpack.util.ConsoleTextArea: void postUpdateUI()>",1,3439,0,67,0.9997092,0,786,1.0,16568
"<com.izforge.izpack.util.ConsoleTextArea: void removeUpdate(javax.swing.event.DocumentEvent)>",2,2,0,0,0.0,0,0,0.0,0
"<com.izforge.izpack.util.ConsoleTextArea: void returnPressed()>",1,1,0,0,0.0,0,0,0.0,0
"<com.izforge.izpack.util.ConsoleTextArea: void write(java.lang.String)>",3,3451,0,68,0.99913067,0,791,1.0,16626
"<com.izforge.izpack.util.ConsoleWriter: void flush()>",2,3437,1,66,0.9994181,0,763,1.0,17054
"<com.izforge.izpack.util.ConsoleWriter: void write(char[],int,int)>",2,3450,1,67,0.9994203,0,768,1.0,17136
"<com.izforge.izpack.util.ConsoleWriter: void write(int)>",2,3450,1,67,0.9994203,0,768,1.0,17136
"<com.izforge.izpack.util.Debug: java.io.PrintWriter setLogFile(java.io.PrintWriter)>",5,8821,2,145,0.99943316,0,1989,1.0,42940
"<com.izforge.izpack.util.Librarian: void loadArchSpecificLibrary(java.lang.String,com.izforge.izpack.util.NativeLibraryClient)>",57,65959,3,932,0.99913585,8,17032,0.9995305,311168
"<com.izforge.izpack.util.Librarian: void loadLibrary(java.lang.String,com.izforge.izpack.util.NativeLibraryClient)>",6,17774,2,292,0.9996624,1,4730,0.99978864,83240
"<com.izforge.izpack.util.os.RegistryDefaultHandler: com.izforge.izpack.util.os.RegistryHandler getInstance()>",5,9358,0,116,0.9994657,0,2315,1.0,43663
"<com.izforge.izpack.util.os.RegistryHandler: void setDefault()>",0,0,0,0,0.0,0,0,0.0,0
"<org.apache.regexp.RECompiler: void reallocBrackets()>",5,5,0,0,0.0,0,0,0.0,29
-,=SUM(B2:B36),=SUM(C2:C36),=SUM(D2:D36),=SUM(E2:E36),=AVERAGE(F2:F36),=SUM(G2:G36),=SUM(H2:H36),=AVERAGE(I2:I36),=SUM(J2:J36)
