Program,# of method calls in first level,total # of method calls,# of synchronized method calls in first level,total # of sync method calls,Growth from first level,Number of allocations in first level,Total # of allocations,Growth from first level,total # lines of IR
avrora,272,164756,20,2286,0.750181816,26,40795,0.734344183,876414
bacnet4J,89,70378,0,925,0.69008602,14,18175,0.619547965,340743
dom4j,85,53648,12,1022,0.538297566,12,13100,0.535122763,258668
fop,190,97097,3,1717,0.679626098,23,23891,0.676268638,491176
gravity2D,66,13993,0,275,0.798525199,6,3422,0.811045522,68737
H2,1001,3576538,70,50763,0.820944603,81,774929,0.801459012,16376773
Hodoku,139,692107,4,14063,0.378148554,13,168427,0.346693912,3145609
jace,153,60896,6,956,0.470311819,2,14574,0.411288904,296696
JMT-installer,150,224908,18,3664,0.580094699,14,55369,0.565461803,1073805
joscarlib,2,74,0,2,0.972973,0,40,1,386
jparallelloops,16,677,0,17,0.5731354,4,283,0.68020816,4694
lwjgl,319,339297,21,4001,0.817494738,47,65149,0.842096058,1654074
microemulator,162,55482,26,834,0.461816772,14,14181,0.405919248,269277
modbuspal,80,65102,1,973,0.395196624,3,16208,0.518267459,312755
paw,,,,,,,,,
peer,,,,,,,,,
pmd,43,16649,0,220,0.655460613,13,4489,0.65745661,81191
simbad,107,50266,18,859,0.656929337,4,11813,0.666526094,244707
sunflow-0.07,,,,,,,,,
sunflow,241,275720,22,3936,0.778425408,14,67926,0.79562707,1312533
tomcat-juli,,,,,,,,,
vijava,0,0,0,0,0,0,0,0,0
ycad,86,36585,28,633,0.340054103,2,8450,0.302301814,181130
xalan,474,769273,74,14241,0.766408762,72,193822,0.717144623,3795027
