Critical Section Name:,# of method calls in first level,total # of method calls,# of synchronized method calls in first level,total # of sync method calls,Growth from first level,Number of allocations in first level,Total # of allocations,Growth from first level,total # lines of IR
"<org.apache.fop.afp.fonts.CharactersetEncoder: org.apache.fop.afp.fonts.CharactersetEncoder$EncodedChars encode(java.lang.CharSequence)>",2,707,0,18,0.99717116,0,278,1.0,4723
"<org.apache.fop.afp.modca.Registry: org.apache.fop.afp.modca.Registry getInstance()>",1,388,0,11,0.9974227,1,138,0.9928058,3355
"<org.apache.fop.apps.FOPException: void printStackTrace()>",9,6311,0,120,0.9985739,0,1479,1.0,30344
"<org.apache.fop.apps.FOPException: void printStackTrace(java.io.PrintStream)>",9,6308,0,120,0.99857324,0,1479,1.0,30332
"<org.apache.fop.apps.FOPException: void printStackTrace(java.io.PrintWriter)>",9,6368,0,120,0.99858665,0,1485,1.0,30658
"<org.apache.fop.complexscripts.fonts.GlyphSubtable: org.apache.fop.complexscripts.fonts.GlyphTable getTable()>",1,1,0,0,0.0,0,0,0.0,3
"<org.apache.fop.complexscripts.fonts.GlyphSubtable: void setTable(org.apache.fop.complexscripts.fonts.GlyphTable)>",3,12,0,1,0.75,2,7,0.7777778,58
"<org.apache.fop.complexscripts.scripts.ScriptProcessor: org.apache.fop.complexscripts.scripts.ScriptProcessor getInstance(java.lang.String)>",4,473,0,11,0.99154335,1,172,0.99421966,3506
"<org.apache.fop.events.CompositeEventListener: int getListenerCount()>",1,1,0,0,0.0,0,0,0.0,0
"<org.apache.fop.events.CompositeEventListener: void addEventListener(org.apache.fop.events.EventListener)>",1,1,0,0,0.0,0,0,0.0,0
"<org.apache.fop.events.CompositeEventListener: void processEvent(org.apache.fop.events.Event)>",3,4,1,0,0.25,0,0,0.0,4
"<org.apache.fop.events.CompositeEventListener: void removeEventListener(org.apache.fop.events.EventListener)>",1,1,0,0,0.0,0,0,0.0,0
"<org.apache.fop.events.DefaultEventBroadcaster: org.apache.fop.events.model.EventProducerModel getEventProducerModel(java.lang.Class)>",6,7771,1,91,0.9992279,0,2012,1.0,36809
"<org.apache.fop.events.DefaultEventBroadcaster: void addEventModel(org.apache.fop.events.model.EventModel)>",1,1,0,0,0.0,0,0,0.0,0
"<org.apache.fop.events.FOPEventListenerProxy: void processEvent(org.apache.fop.events.Event)>",12,176,0,4,0.9318182,0,64,1.0,952
"<org.apache.fop.fo.flow.table.BorderSpecification: org.apache.fop.fo.flow.table.BorderSpecification getDefaultBorder()>",2,10,1,0,0.8,1,8,0.8888889,44
"<org.apache.fop.fo.properties.CommonBorderPaddingBackground: org.apache.fop.fo.properties.CommonBorderPaddingBackground getInstance(org.apache.fop.fo.PropertyList)>",9,118,0,2,0.9237288,0,43,1.0,746
"<org.apache.fop.fonts.FontCache: void addFont(org.apache.fop.fonts.EmbedFontInfo)>",10,7326,3,86,0.998635,2,1903,0.9989501,34497
"<org.apache.fop.fonts.FontCache: void clear()>",4,4,0,0,0.0,0,0,0.0,0
"<org.apache.fop.fonts.FontCache: void registerFailedFont(java.lang.String,long)>",3,5,0,0,0.4,1,2,0.6666667,10
"<org.apache.fop.fonts.FontCache: void removeFont(java.lang.String)>",8,226,3,6,0.96460176,1,94,0.9894737,1176
"<org.apache.fop.fonts.FontCache: void saveTo(java.io.File)>",13,10748,3,180,0.99879044,4,2428,0.99835527,52540
"<org.apache.fop.fonts.MultiByteFont: void addPrivateUseMapping(int,int)>",4,14,0,1,0.71428573,2,4,0.6666667,74
"<org.apache.fop.hyphenation.Hyphenator: org.apache.fop.hyphenation.HyphenationTreeCache getHyphenationTreeCache()>",1,390,0,10,0.99743587,1,121,0.9918033,3353
"<org.apache.fop.render.awt.viewer.ImageProxyPanel: void paintComponent(java.awt.Graphics)>",19,7804,0,137,0.9975653,1,1969,0.9994924,38066
"<org.apache.fop.render.awt.viewer.PreviewPanel$ViewportScroller: void mouseDragged(java.awt.event.MouseEvent)>",13,15561,0,331,0.9991646,1,3565,0.99971956,76157
"<org.apache.fop.render.awt.viewer.PreviewPanel: void reload()>",3,2999,1,51,0.99899966,1,684,0.99854016,14567
"<org.apache.fop.render.awt.viewer.PreviewPanel: void showPage()>",4,10136,0,197,0.99960536,1,2260,0.99955773,49918
"<org.apache.fop.render.ImageHandlerRegistry: org.apache.xmlgraphics.image.loader.ImageFlavor[] getSupportedFlavors(org.apache.fop.render.RenderingContext)>",9,12,0,0,0.25,1,3,0.75,14
"<org.apache.fop.render.ImageHandlerRegistry: void addHandler(org.apache.fop.render.ImageHandler)>",8,8,0,0,0.0,0,0,0.0,0
"<org.apache.fop.render.intermediate.extensions.ActionSet: java.lang.String generateNewID(org.apache.fop.render.intermediate.extensions.AbstractAction)>",6,218,0,7,0.9724771,2,94,0.9791667,1150
"<org.apache.fop.render.rtf.rtflib.rtfdoc.RtfFile: void flush()>",2,6,0,0,0.6666667,0,0,0.0,16
"<org.apache.fop.util.XMLResourceBundle: java.util.ResourceBundle handleGetXMLBundle(java.lang.String,java.lang.String,boolean,java.lang.ClassLoader)>",3,390,0,10,0.99230766,1,119,0.9916667,3345
-,=SUM(B2:B33),=SUM(C2:C33),=SUM(D2:D33),=SUM(E2:E33),=AVERAGE(F2:F33),=SUM(G2:G33),=SUM(H2:H33),=AVERAGE(I2:I33),=SUM(J2:J33)
