Critical Section Name:,# of method calls in first level,total # of method calls,# of synchronized method calls in first level,total # of sync method calls,Growth from first level,Number of allocations in first level,Total # of allocations,Growth from first level,total # lines of IR
"<org.h2.bnf.context.DbContents: void readContents(java.sql.DatabaseMetaData)>",29,32244,0,337,0.9991006,1,8168,0.9998776,148529
"<org.h2.command.CommandRemote: void close()>",6,9064,0,141,0.99933803,0,2305,1.0,43985
"<org.h2.command.dml.AlterSequence: int update()>",2,56392,1,720,0.99996454,0,10794,1.0,247151
"<org.h2.command.dml.BackupCommand: void backupTo(java.lang.String)>",16,21712,0,350,0.9992631,0,5058,1.0,104404
"<org.h2.command.dml.TransactionCommand: int update()>",1,35259,0,500,0.9999716,0,6536,1.0,154351
"<org.h2.Driver: org.h2.Driver load()>",2,3126,1,56,0.9993602,0,721,1.0,15087
"<org.h2.Driver: void unload()>",2,187,1,8,0.98930484,0,63,1.0,861
"<org.h2.engine.Database: boolean beforeWriting()>",2,9941,1,190,0.99979883,0,2539,1.0,47917
"<org.h2.engine.Database: boolean lockMeta(org.h2.engine.Session)>",2,2,0,0,0.0,0,0,0.0,3
"<org.h2.engine.Database: boolean reconnectModified(boolean)>",37,57646,2,973,0.9993582,3,14727,0.99979633,281906
"<org.h2.engine.Database: int allocateObjectId()>",2,9,0,0,0.7777778,0,0,0.0,98
"<org.h2.engine.Database: java.lang.String getTempTableName(java.lang.String,org.h2.engine.Session)>",9,434,0,12,0.97926265,1,177,0.994382,2340
"<org.h2.engine.Database: org.h2.engine.QueryStatisticsData getQueryStatisticsData()>",1,359,0,10,0.9972145,1,121,0.9918033,3171
"<org.h2.engine.Database: org.h2.engine.Session createSession(org.h2.engine.User)>",7,18383,0,290,0.9996192,1,4699,0.9997872,89117
"<org.h2.engine.Database: org.h2.engine.Session[] getSessions(boolean)>",1,13,0,0,0.9230769,0,4,1.0,56
"<org.h2.engine.Database: void addDatabaseObject(org.h2.engine.Session,org.h2.engine.DbObject)>",16,31244,2,384,0.9994879,0,6778,1.0,141844
"<org.h2.engine.Database: void addMeta(org.h2.engine.Session,org.h2.engine.DbObject)>",10,21707,0,230,0.9995393,1,4371,0.9997713,95393
"<org.h2.engine.Database: void addSchemaObject(org.h2.engine.Session,org.h2.schema.SchemaObject)>",6,31069,2,376,0.9998069,0,6717,1.0,141062
"<org.h2.engine.Database: void afterWriting()>",0,0,0,0,0.0,0,0,0.0,0
"<org.h2.engine.Database: void checkpoint()>",1,11854,1,192,0.99991566,0,2786,1.0,57170
"<org.h2.engine.Database: void checkpointIfRequired()>",0,0,0,0,0.0,0,0,0.0,0
"<org.h2.engine.Database: void close(boolean)>",50,297790,3,4565,0.9998321,0,60668,1.0,1339388
"<org.h2.engine.Database: void closeAllSessionsException(org.h2.engine.Session)>",7,82353,0,1252,0.999915,0,15691,1.0,362000
"<org.h2.engine.Database: void closeFiles()>",3,18420,1,292,0.99983716,0,4677,1.0,89212
"<org.h2.engine.Database: void closeOpenFilesAndUnlock(boolean)>",23,200820,7,3108,0.99988544,0,42029,1.0,915933
"<org.h2.engine.Database: void commit(org.h2.engine.Session)>",3,34816,1,493,0.9999138,0,6490,1.0,152466
"<org.h2.engine.Database: void flush()>",3,30241,1,454,0.9999008,0,7522,1.0,147489
"<org.h2.engine.Database: void initJavaObjectSerializer()>",5,12292,0,196,0.99959326,0,3049,1.0,59465
"<org.h2.engine.Database: void initMetaTables()>",3,9847,0,155,0.99969536,1,2467,0.9995948,48111
"<org.h2.engine.Database: void open(int,int)>",135,542944,6,7915,0.9997513,27,115603,0.99976647,2479061
"<org.h2.engine.Database: void prepareCommit(org.h2.engine.Session,java.lang.String)>",3,55626,2,806,0.99994606,0,11614,1.0,253464
"<org.h2.engine.Database: void removeDatabaseObject(org.h2.engine.Session,org.h2.engine.DbObject)>",17,52967,3,617,0.999679,1,11204,0.9999108,237086
"<org.h2.engine.Database: void removeMeta(org.h2.engine.Session,int)>",15,21875,1,237,0.9993143,0,4434,1.0,96131
"<org.h2.engine.Database: void removeSchemaObject(org.h2.engine.Session,org.h2.schema.SchemaObject)>",27,94100,3,1146,0.99971306,0,20320,1.0,426622
"<org.h2.engine.Database: void removeSession(org.h2.engine.Session)>",18,65227,2,1050,0.99972403,2,13538,0.9998523,295756
"<org.h2.engine.Database: void renameDatabaseObject(org.h2.engine.Session,org.h2.engine.DbObject,java.lang.String)>",28,53460,3,632,0.99947625,2,11339,0.99982363,239865
"<org.h2.engine.Database: void renameSchemaObject(org.h2.engine.Session,org.h2.schema.SchemaObject,java.lang.String)>",4,31178,1,382,0.99987173,0,6736,1.0,141493
"<org.h2.engine.Database: void setCacheSize(int)>",7,9089,0,142,0.99922985,0,2312,1.0,44039
"<org.h2.engine.Database: void setCloseDelay(int)>",0,0,0,0,0.0,0,0,0.0,0
"<org.h2.engine.Database: void setDeleteFilesOnDisconnect(boolean)>",0,0,0,0,0.0,0,0,0.0,0
"<org.h2.engine.Database: void setJavaObjectSerializerName(java.lang.String)>",0,0,0,0,0.0,0,0,0.0,0
"<org.h2.engine.Database: void setMasterUser(org.h2.engine.User)>",3,56380,2,718,0.9999468,0,10790,1.0,247091
"<org.h2.engine.Database: void setMaxLogSize(long)>",1,1,0,0,0.0,0,0,0.0,4
"<org.h2.engine.Database: void setQueryStatistics(boolean)>",0,0,0,0,0.0,0,0,0.0,0
"<org.h2.engine.Database: void sync()>",2,21027,1,309,0.9999049,0,5179,1.0,102949
"<org.h2.engine.Database: void update(org.h2.engine.Session,org.h2.engine.DbObject)>",4,42992,3,444,0.99990696,0,8594,1.0,188753
"<org.h2.engine.Database: void updateWithChildren(org.h2.engine.Session,org.h2.engine.DbObject)>",9,43411,2,462,0.9997927,0,8713,1.0,190694
"<org.h2.engine.DatabaseCloser: void reset()>",0,0,0,0,0.0,0,0,0.0,0
"<org.h2.engine.DatabaseCloser: void run()>",1,1,0,0,0.0,0,0,0.0,3
"<org.h2.engine.Engine: org.h2.engine.Session openSession(org.h2.engine.ConnectionInfo)>",27,273579,2,3885,0.9999013,1,49653,0.99997985,1165896
"<org.h2.engine.Engine: void validateUserAndPassword(boolean)>",2,7797,0,96,0.99974346,0,2033,1.0,35455
"<org.h2.engine.FunctionAlias: void load()>",2,19416,0,315,0.999897,0,4903,1.0,94506
"<org.h2.engine.FunctionAlias: void loadFromSource()>",8,13155,0,209,0.99939185,2,3225,0.99938023,64261
"<org.h2.engine.FunctionAlias: void removeChildrenAndResources(org.h2.engine.Session)>",3,21498,1,222,0.99986047,0,4298,1.0,94423
"<org.h2.engine.QueryStatisticsData: java.util.List getQueries()>",7,603,0,5,0.9883914,1,252,0.99604744,4403
"<org.h2.engine.QueryStatisticsData: void update(java.lang.String,long,int)>",19,1161,0,16,0.98363477,3,399,0.9925373,9003
"<org.h2.engine.Session: org.h2.command.CommandInterface prepareCommand(java.lang.String,int)>",1,45054,0,526,0.9999778,0,7681,1.0,186930
"<org.h2.engine.Session: void cleanTempTables(boolean)>",13,56999,1,739,0.99977195,0,10892,1.0,249820
"<org.h2.engine.Session: void commit(boolean)>",9,12591,0,200,0.9992852,0,3179,1.0,60916
"<org.h2.engine.Session: void removeLocalTempTable(org.h2.table.Table)>",1,22159,0,246,0.9999549,0,4392,1.0,97188
"<org.h2.engine.Session: void removeLocalTempTableConstraint(org.h2.constraint.Constraint)>",1,1,0,0,0.0,0,0,0.0,0
"<org.h2.engine.Session: void removeLocalTempTableIndex(org.h2.index.Index)>",1,1,0,0,0.0,0,0,0.0,0
"<org.h2.engine.Session: void unlockAll()>",4,86,0,2,0.95348835,0,34,1.0,430
"<org.h2.engine.Session: void unlockReadLocks()>",2,85,0,2,0.9764706,0,34,1.0,430
"<org.h2.engine.SessionRemote: int readLob(long,byte[],long,byte[],int,int)>",12,31744,0,515,0.999622,0,8091,1.0,151654
"<org.h2.engine.SessionRemote: org.h2.command.CommandInterface prepareCommand(java.lang.String,int)>",2,22396,0,366,0.9999107,1,5685,0.9998241,106254
"<org.h2.engine.SessionRemote: void close()>",7,18563,1,297,0.9996229,0,4735,1.0,89842
"<org.h2.engine.SessionRemote: void initJavaObjectSerializer()>",6,25499,0,417,0.9997647,0,6398,1.0,121251
"<org.h2.engine.UserAggregate: void removeChildrenAndResources(org.h2.engine.Session)>",3,21498,1,222,0.99986047,0,4298,1.0,94423
"<org.h2.fulltext.FullTextLucene: void removeIndexAccess(org.h2.fulltext.FullTextLucene$IndexAccess,java.lang.String)>",4,12,0,0,0.6666667,0,0,0.0,90
"<org.h2.fulltext.FullTextSettings: java.sql.PreparedStatement prepare(java.sql.Connection,java.lang.String)>",8,413,0,10,0.98062956,1,135,0.99264705,3574
"<org.h2.index.MultiVersionCursor: void loadCurrent()>",2,2,0,0,0.0,0,0,0.0,0
"<org.h2.index.MultiVersionCursor: void loadNext(boolean)>",4,8,0,0,0.5,0,0,0.0,16
"<org.h2.index.MultiVersionIndex: void add(org.h2.engine.Session,org.h2.result.Row)>",4,37449,0,406,0.9998932,0,8038,1.0,168574
"<org.h2.index.MultiVersionIndex: void close(org.h2.engine.Session)>",1,1,0,0,0.0,0,0,0.0,0
"<org.h2.index.MultiVersionIndex: void commit(int,org.h2.result.Row)>",1,18640,0,203,0.99994636,0,4007,1.0,84005
"<org.h2.index.MultiVersionIndex: void remove(org.h2.engine.Session)>",1,1,0,0,0.0,0,0,0.0,0
