Critical Section Name:,# of method calls in first level,total # of method calls,# of synchronized method calls in first level,total # of sync method calls,Growth from first level,Number of allocations in first level,Total # of allocations,Growth from first level,total # lines of IR
"<org.lwjgl.input.Cursor: void <init>(int,int,int,int,int,java.nio.IntBuffer,java.nio.IntBuffer)>",12,3296,0,62,0.9963592,5,812,0.99388003,16005
"<org.lwjgl.input.Cursor: void destroy()>",4,113,0,3,0.96460176,0,43,1.0,567
"<org.lwjgl.input.Keyboard: int getKeyIndex(java.lang.String)>",2,2,0,0,0.0,0,0,0.0,3
"<org.lwjgl.input.Keyboard: java.lang.String getKeyName(int)>",0,0,0,0,0.0,0,0,0.0,0
"<org.lwjgl.input.Keyboard: void create()>",4,216,0,8,0.9814815,1,94,0.9894737,1094
"<org.lwjgl.input.Keyboard: void destroy()>",2,14,0,1,0.85714287,0,5,1.0,75
"<org.lwjgl.input.Keyboard: void enableRepeatEvents(boolean)>",0,0,0,0,0.0,0,0,0.0,0
"<org.lwjgl.input.Keyboard: void poll()>",3,12,0,1,0.75,1,4,0.8,48
"<org.lwjgl.input.Mouse: void create()>",4,3170,0,55,0.99873817,1,753,0.99867374,15456
"<org.lwjgl.input.Mouse: void destroy()>",1,1,0,0,0.0,0,0,0.0,0
"<org.lwjgl.input.Mouse: void poll()>",13,32,0,1,0.59375,1,4,0.8,166
"<org.lwjgl.input.Mouse: void setCursorPosition(int,int)>",5,105,0,4,0.95238096,1,41,0.97619045,522
"<org.lwjgl.input.Mouse: void setGrabbed(boolean)>",6,141,0,5,0.9574468,0,47,1.0,755
"<org.lwjgl.input.Mouse: void updateCursor()>",4,131,0,5,0.9694657,0,53,1.0,666
"<org.lwjgl.openal.ALC10: boolean alcCloseDevice(org.lwjgl.openal.ALCdevice)>",3,24,0,0,0.875,1,6,0.85714287,168
"<org.lwjgl.openal.ALC10: org.lwjgl.openal.ALCcontext alcGetCurrentContext()>",2,14,0,0,0.85714287,0,3,1.0,115
"<org.lwjgl.openal.ALC10: org.lwjgl.openal.ALCdevice alcGetContextsDevice(org.lwjgl.openal.ALCcontext)>",2,14,0,0,0.85714287,0,3,1.0,115
"<org.lwjgl.openal.ALC10: void alcDestroyContext(org.lwjgl.openal.ALCcontext)>",5,240,0,4,0.9791667,0,92,1.0,1261
"<org.lwjgl.openal.ALC11: boolean alcCaptureCloseDevice(org.lwjgl.openal.ALCdevice)>",3,24,0,0,0.875,1,6,0.85714287,168
"<org.lwjgl.openal.ALCdevice: void addContext(org.lwjgl.openal.ALCcontext)>",2,149,0,0,0.98657715,0,16,1.0,1104
"<org.lwjgl.openal.ALCdevice: void removeContext(org.lwjgl.openal.ALCcontext)>",2,13,0,0,0.84615386,0,3,1.0,113
"<org.lwjgl.openal.ALCdevice: void setInvalid()>",5,9,0,0,0.44444445,0,4,1.0,28
"<org.lwjgl.opengl.AWTGLCanvas: void destroy()>",2,11328,1,87,0.99982345,0,1828,1.0,55151
"<org.lwjgl.opengl.AWTGLCanvas: void makeCurrent()>",2,11270,1,81,0.99982256,1,1823,0.99945176,54989
"<org.lwjgl.opengl.AWTGLCanvas: void paint(java.awt.Graphics)>",11,28638,4,266,0.9996159,1,5035,0.99980146,139494
"<org.lwjgl.opengl.AWTGLCanvas: void releaseContext()>",3,11302,1,85,0.9997346,1,1827,0.99945295,55106
"<org.lwjgl.opengl.AWTGLCanvas: void removeNotify()>",2,24420,0,348,0.9999181,0,4827,1.0,117861
"<org.lwjgl.opengl.AWTGLCanvas: void setCLSharingProperties(org.lwjgl.PointerBuffer)>",2,2975,1,52,0.9993277,1,674,0.9985185,14199
"<org.lwjgl.opengl.AWTGLCanvas: void setSwapInterval(int)>",2,9,0,1,0.7777778,1,4,0.8,38
"<org.lwjgl.opengl.AWTGLCanvas: void setUpdate()>",0,0,0,0,0.0,0,0,0.0,0
"<org.lwjgl.opengl.AWTGLCanvas: void swapBuffers()>",2,9,0,1,0.7777778,1,4,0.8,37
"<org.lwjgl.opengl.ContextGL: boolean isCurrent()>",2,8,0,1,0.75,1,4,0.8,34
"<org.lwjgl.opengl.ContextGL: void <init>(org.lwjgl.opengl.PeerInfo,org.lwjgl.opengl.ContextAttribs,org.lwjgl.opengl.ContextGL)>",5,3070,1,51,0.99837136,1,699,0.99857146,14976
"<org.lwjgl.opengl.ContextGL: void destroy()>",5,14389,1,137,0.9996525,1,2530,0.9996049,70107
"<org.lwjgl.opengl.ContextGL: void forceDestroy()>",2,11416,1,88,0.9998248,0,1866,1.0,55599
