Critical Section Name:,# of method calls in first level,total # of method calls,# of synchronized method calls in first level,total # of sync method calls,Growth from first level,Number of allocations in first level,Total # of allocations,Growth from first level,total # lines of IR
"<org.codehaus.janino.IClassLoader: org.codehaus.janino.IClass loadIClass(java.lang.String)>",9,1015,0,38,0.99113303,0,358,1.0,7896
"<org.sunflow.core.display.FastDisplay: void imageBegin(int,int,int)>",14,74303,1,1472,0.9998116,4,17368,0.99976975,359886
"<org.sunflow.core.display.FastDisplay: void imageEnd()>",10,10747,0,139,0.9990695,0,2651,1.0,50907
"<org.sunflow.core.display.FastDisplay: void paint(java.awt.Graphics)>",1,1,0,0,0.0,0,0,0.0,0
"<org.sunflow.core.display.ImgPipeDisplay: void imageBegin(int,int,int)>",3,2900,0,49,0.9989655,0,650,1.0,13993
"<org.sunflow.core.display.ImgPipeDisplay: void imageEnd()>",2,2899,0,49,0.99931014,0,650,1.0,13993
"<org.sunflow.core.display.ImgPipeDisplay: void imageFill(int,int,int,int,org.sunflow.image.Color)>",5,3096,0,57,0.998385,0,714,1.0,14932
"<org.sunflow.core.display.ImgPipeDisplay: void imagePrepare(int,int,int,int,int)>",0,0,0,0,0.0,0,0,0.0,0
"<org.sunflow.core.display.ImgPipeDisplay: void imageUpdate(int,int,int,int,org.sunflow.image.Color[])>",5,3096,0,57,0.998385,0,714,1.0,14932
"<org.sunflow.core.display.OpenExrDisplay: void imageUpdate(int,int,int,int,org.sunflow.image.Color[])>",4,10400,1,128,0.9996154,0,2603,1.0,48857
"<org.sunflow.core.Geometry: void build()>",6,14590,1,146,0.9995888,1,3773,0.99973506,67322
"<org.sunflow.core.Geometry: void tesselate()>",6,21843,3,217,0.99972534,0,5632,1.0,100764
"<org.sunflow.core.gi.InstantGI$PointLightStore: void store(org.sunflow.core.ShadingState,org.sunflow.math.Vector3,org.sunflow.image.Color,org.sunflow.image.Color)>",1,21,0,1,0.95238096,0,5,1.0,125
"<org.sunflow.core.LightServer$1: void run()>",4,7282,2,73,0.9994507,0,1875,1.0,33589
"<org.sunflow.core.LightServer: org.sunflow.image.Color lookupShadingCache(org.sunflow.core.ShadingState,org.sunflow.core.Shader)>",7,7,0,0,0.0,0,0,0.0,32
"<org.sunflow.core.LightServer: void addShadingCache(org.sunflow.core.ShadingState,org.sunflow.core.Shader,org.sunflow.image.Color)>",10,14,0,0,0.2857143,2,4,0.6666667,43
"<org.sunflow.core.photonmap.CausticPhotonMap: void store(org.sunflow.core.ShadingState,org.sunflow.math.Vector3,org.sunflow.image.Color,org.sunflow.image.Color)>",5,29,0,1,0.82758623,1,6,0.85714287,233
"<org.sunflow.core.photonmap.GlobalPhotonMap: void store(org.sunflow.core.ShadingState,org.sunflow.math.Vector3,org.sunflow.image.Color,org.sunflow.image.Color)>",5,29,0,1,0.82758623,1,6,0.85714287,233
"<org.sunflow.core.photonmap.GridPhotonMap: org.sunflow.image.Color getRadiance(org.sunflow.math.Point3,org.sunflow.math.Vector3)>",33,5966,0,99,0.9944686,1,1338,0.99925315,29027
"<org.sunflow.core.photonmap.GridPhotonMap: void store(org.sunflow.core.ShadingState,org.sunflow.math.Vector3,org.sunflow.image.Color,org.sunflow.image.Color)>",7,14,0,0,0.5,1,5,0.8333333,131
"<org.sunflow.core.renderer.BucketRenderer$BucketThread: void run()>",9,10,1,0,0.1,0,0,0.0,31
"<org.sunflow.core.renderer.ProgressiveRenderer$SmallBucketThread: void run()>",5,6,1,0,0.16666667,0,0,0.0,19
"<org.sunflow.core.renderer.SimpleRenderer$BucketThread: void run()>",7,7,0,0,0.0,0,0,0.0,23
"<org.sunflow.core.Texture: void load()>",6,22253,2,225,0.99973035,1,5765,0.99982655,103100
"<org.sunflow.core.TextureCache: org.sunflow.core.Texture getTexture(java.lang.String,boolean)>",6,14719,2,144,0.99959236,1,3764,0.9997344,68395
"<org.sunflow.core.TextureCache: void flush()>",2,7279,1,72,0.9997252,0,1875,1.0,33587
"<org.sunflow.system.ImagePanel: void drag(int,int)>",1,3420,0,63,0.9997076,0,760,1.0,17032
"<org.sunflow.system.ImagePanel: void fit()>",9,3434,0,63,0.9973791,0,760,1.0,17086
"<org.sunflow.system.ImagePanel: void imageBegin(int,int,int)>",7,5402,1,87,0.9987042,1,1560,0.99935937,28873
"<org.sunflow.system.ImagePanel: void imageFill(int,int,int,int,org.sunflow.image.Color)>",5,3446,1,64,0.99854904,0,767,1.0,17193
"<org.sunflow.system.ImagePanel: void imagePrepare(int,int,int,int,int)>",3,3442,2,65,0.9991284,0,770,1.0,17154
