Critical Section Name:,# of method calls in first level,total # of method calls,# of synchronized method calls in first level,total # of sync method calls,Growth from first level,Number of allocations in first level,Total # of allocations,Growth from first level,total # lines of IR
"<org.apache.bcel.verifier.VerifierAppFrame: void classNamesJList_valueChanged(javax.swing.event.ListSelectionEvent)>",5,13309,0,369,0.9996243,0,3417,1.0,63450
"<org.apache.bcel.verifier.VerifierAppFrame: void pass3aJList_valueChanged(javax.swing.event.ListSelectionEvent)>",22,16907,7,326,0.9986988,1,4331,0.99976915,83979
"<org.apache.bcel.verifier.VerifierAppFrame: void pass3bJList_valueChanged(javax.swing.event.ListSelectionEvent)>",22,16907,7,326,0.9986988,1,4331,0.99976915,83979
"<org.apache.bcel.verifier.VerifierFactoryListModel: int getSize()>",1,2,0,0,0.5,0,0,0.0,4
"<org.apache.bcel.verifier.VerifierFactoryListModel: java.lang.Object getElementAt(int)>",1,29,0,1,0.9655172,0,5,1.0,130
"<org.apache.bcel.verifier.VerifierFactoryListModel: void addListDataListener(javax.swing.event.ListDataListener)>",1,21,0,1,0.95238096,0,5,1.0,125
"<org.apache.bcel.verifier.VerifierFactoryListModel: void removeListDataListener(javax.swing.event.ListDataListener)>",1,9,0,0,0.8888889,0,0,0.0,25
"<org.apache.bcel.verifier.VerifierFactoryListModel: void update(java.lang.String)>",8,111,0,3,0.9279279,1,45,0.9782609,539
"<org.apache.xalan.client.XSLTProcessorApplet: java.lang.String getHtmlText()>",1,2,0,0,0.5,0,0,0.0,3
"<org.apache.xalan.client.XSLTProcessorApplet: java.lang.String getSource()>",6,205,0,15,0.97073174,2,73,0.97333336,949
"<org.apache.xalan.client.XSLTProcessorApplet: java.lang.String getTreeAsText(java.lang.String)>",1,2,0,0,0.5,0,0,0.0,3
"<org.apache.xalan.client.XSLTProcessorApplet: java.lang.String processTransformation()>",19,14407,2,188,0.9986812,7,3681,0.99810195,67023
"<org.apache.xalan.client.XSLTProcessorApplet: void start()>",6,8,0,0,0.25,3,1,0.25,11
"<org.apache.xalan.lib.ExsltStrings: org.w3c.dom.NodeList split(java.lang.String,java.lang.String)>",4,10749,0,169,0.9996279,0,2740,1.0,52764
"<org.apache.xalan.lib.ExsltStrings: org.w3c.dom.NodeList tokenize(java.lang.String,java.lang.String)>",6,10832,0,171,0.9994461,0,2779,1.0,53193
"<org.apache.xalan.lib.Extensions: org.w3c.dom.NodeList tokenize(java.lang.String,java.lang.String)>",4,10982,0,175,0.99963576,0,2835,1.0,54122
"<org.apache.xalan.lib.ObjectFactory: java.lang.String lookUpFactoryClassName(java.lang.String,java.lang.String,java.lang.String)>",6,9485,1,158,0.9993674,1,2208,0.9995473,48667
"<org.apache.xalan.lib.sql.ConnectionPoolManager: org.apache.xalan.lib.sql.ConnectionPool getPool(java.lang.String)>",1,4,1,0,0.75,0,0,0.0,32
"<org.apache.xalan.lib.sql.ConnectionPoolManager: void init()>",1,388,0,10,0.9974227,1,119,0.9916667,3345
"<org.apache.xalan.lib.sql.ConnectionPoolManager: void registerPool(java.lang.String,org.apache.xalan.lib.sql.ConnectionPool)>",4,10872,2,171,0.99963206,1,2758,0.99963754,53637
"<org.apache.xalan.lib.sql.ConnectionPoolManager: void removePool(java.lang.String)>",4,11,2,1,0.6363636,0,0,0.0,85
"<org.apache.xalan.lib.sql.DefaultConnectionPool: java.sql.Connection getConnection()>",12,10963,5,175,0.9989054,1,2806,0.99964374,53641
"<org.apache.xalan.lib.sql.DefaultConnectionPool: void initializePool()>",17,59692,2,955,0.9997152,6,15044,0.9996013,292489
"<org.apache.xalan.lib.sql.DefaultConnectionPool: void releaseConnection(java.sql.Connection)>",7,178,3,4,0.96067417,0,76,1.0,876
"<org.apache.xalan.lib.sql.DefaultConnectionPool: void releaseConnectionOnError(java.sql.Connection)>",5,176,3,4,0.97159094,0,76,1.0,869
"<org.apache.xalan.lib.sql.ObjectFactory: java.lang.String lookUpFactoryClassName(java.lang.String,java.lang.String,java.lang.String)>",6,9485,1,158,0.9993674,1,2208,0.9995473,48667
"<org.apache.xalan.templates.ElemTextLiteral: java.lang.String getNodeValue()>",1,5,0,0,0.8,1,1,0.5,24
"<org.apache.xalan.templates.RedundentExprEliminator: int getPseudoVarID()>",0,0,0,0,0.0,0,0,0.0,0
"<org.apache.xalan.transformer.TransformerImpl: void clearParameters()>",2,5,0,0,0.6,1,1,0.5,44
"<org.apache.xalan.transformer.TransformerImpl: void postExceptionFromThread(java.lang.Exception)>",1,1,0,0,0.0,0,0,0.0,0
"<org.apache.xalan.transformer.TransformerImpl: void setErrorListener(javax.xml.transform.ErrorListener)>",2,10743,0,170,0.99981385,1,2740,0.99963516,52730
"<org.apache.xalan.transformer.TransformerImpl: void setIsTransformDone(boolean)>",0,0,0,0,0.0,0,0,0.0,0
"<org.apache.xalan.transformer.TransformerImpl: void setOutputProperties(java.util.Properties)>",6,22451,1,386,0.99973273,2,5756,0.9996527,113053
"<org.apache.xalan.transformer.TransformerImpl: void setOutputProperty(java.lang.String,java.lang.String)>",7,21691,0,351,0.9996773,1,5536,0.9998194,106607
"<org.apache.xalan.transformer.TransformerImpl: void setURIResolver(javax.xml.transform.URIResolver)>",2,2,0,0,0.0,0,0,0.0,7
"<org.apache.xalan.transformer.TransformerImpl: void transform(javax.xml.transform.Source,javax.xml.transform.Result,boolean)>",3,24178,0,423,0.9998759,0,6185,1.0,116635
"<org.apache.xalan.transformer.TransformerImpl: void transformNode(int)>",19,36760,0,627,0.9994831,1,9292,0.9998924,179816
"<org.apache.xalan.xslt.ObjectFactory: java.lang.String lookUpFactoryClassName(java.lang.String,java.lang.String,java.lang.String)>",6,9485,1,158,0.9993674,1,2208,0.9995473,48667
"<org.apache.xalan.xsltc.cmdline.ObjectFactory: java.lang.String lookUpFactoryClassName(java.lang.String,java.lang.String,java.lang.String)>",6,9485,1,158,0.9993674,1,2208,0.9995473,48667
"<org.apache.xalan.xsltc.compiler.ObjectFactory: java.lang.String lookUpFactoryClassName(java.lang.String,java.lang.String,java.lang.String)>",6,9485,1,158,0.9993674,1,2208,0.9995473,48667
"<org.apache.xalan.xsltc.compiler.util.ObjectFactory: java.lang.String lookUpFactoryClassName(java.lang.String,java.lang.String,java.lang.String)>",6,9485,1,158,0.9993674,1,2208,0.9995473,48667
"<org.apache.xalan.xsltc.compiler.XSLTC: boolean compile(org.xml.sax.InputSource,java.lang.String)>",1,16773,0,919,0.9999404,0,4338,1.0,75331
"<org.apache.xalan.xsltc.dom.DocumentCache: void insertDocument(java.lang.String,org.apache.xalan.xsltc.dom.DocumentCache$CachedDocument)>",2,129,2,1,0.9844961,0,18,1.0,923
"<org.apache.xalan.xsltc.dom.DocumentCache: void replaceDocument(java.lang.String,org.apache.xalan.xsltc.dom.DocumentCache$CachedDocument)>",3,259,3,4,0.98841697,0,36,1.0,1861
"<org.apache.xalan.xsltc.dom.ObjectFactory: java.lang.String lookUpFactoryClassName(java.lang.String,java.lang.String,java.lang.String)>",6,9485,1,158,0.9993674,1,2208,0.9995473,48667
"<org.apache.xalan.xsltc.runtime.ObjectFactory: java.lang.String lookUpFactoryClassName(java.lang.String,java.lang.String,java.lang.String)>",6,9485,1,158,0.9993674,1,2208,0.9995473,48667
"<org.apache.xalan.xsltc.trax.ObjectFactory: java.lang.String lookUpFactoryClassName(java.lang.String,java.lang.String,java.lang.String)>",6,9485,1,158,0.9993674,1,2208,0.9995473,48667
"<org.apache.xalan.xsltc.trax.TemplatesHandlerImpl: void endDocument()>",1,16773,0,919,0.9999404,0,4338,1.0,75331
"<org.apache.xalan.xsltc.trax.TemplatesImpl: byte[][] getTransletBytecodes()>",0,0,0,0,0.0,0,0,0.0,0
"<org.apache.xalan.xsltc.trax.TemplatesImpl: int getTransletIndex()>",1,9223,0,147,0.9998916,0,2360,1.0,44816
"<org.apache.xalan.xsltc.trax.TemplatesImpl: java.lang.Class[] getTransletClasses()>",1,9223,0,147,0.9998916,0,2360,1.0,44816
