Critical Section Name:,# of method calls in first level,total # of method calls,# of synchronized method calls in first level,total # of sync method calls,Growth from first level,Number of allocations in first level,Total # of allocations,Growth from first level,total # lines of IR
"<com.ysystems.ycad.lib.yxxf.Yxxf: boolean setDrawingComplete(boolean)>",5,7,4,0,0.2857143,0,0,0.0,14
"<com.ysystems.ycad.lib.yxxf.Yxxf: boolean setDrawingReady(boolean)>",1,1,0,0,0.0,0,0,0.0,0
"<com.ysystems.ycad.lib.yxxf.Yxxf: boolean setDrawingWritten(boolean)>",1,1,0,0,0.0,0,0,0.0,0
"<com.ysystems.ycad.lib.yxxf.Yxxf: void waitDrawingComplete()>",2,2884,0,48,0.9993065,0,645,1.0,13908
"<com.ysystems.ycad.lib.yxxf.Yxxf: void waitDrawingReady()>",2,2884,0,48,0.9993065,0,645,1.0,13908
"<com.ysystems.ycad.lib.yxxf.Yxxf: void waitDrawingWritten()>",2,2884,0,48,0.9993065,0,645,1.0,13908
"<com.ysystems.ycad.lib.yxxf.YxxfDrwViewHandler: boolean setDrawingViewReady(boolean)>",1,1,0,0,0.0,0,0,0.0,0
"<com.ysystems.ycad.lib.yxxf.YxxfDrwViewHandler: void waitDrawingViewReady()>",2,2884,0,48,0.9993065,0,645,1.0,13908
"<com.ysystems.ycad.lib.yxxf.YxxfDrwViewHandlerEvent: boolean setEventDone(boolean)>",1,1,0,0,0.0,0,0,0.0,0
"<com.ysystems.ycad.lib.yxxf.YxxfDrwViewHandlerEvent: void waitEventDone()>",2,2884,0,48,0.9993065,0,645,1.0,13908
"<com.ysystems.ycad.lib.yxxf.YxxfEntBlock: boolean setBlockComplete(boolean)>",0,0,0,0,0.0,0,0,0.0,0
"<com.ysystems.ycad.lib.yxxf.YxxfEntBlock: int size()>",1,1,1,0,0.0,0,0,0.0,3
"<com.ysystems.ycad.lib.yxxf.YxxfEntBlock: java.lang.Object nextEntity(int)>",4,2966,2,50,0.9986514,0,680,1.0,14320
"<com.ysystems.ycad.lib.yxxf.YxxfEntBlock: void addEntity(com.ysystems.ycad.lib.yxxf.YxxfEnt)>",2,20,1,1,0.9,0,5,1.0,114
"<com.ysystems.ycad.lib.yxxf.YxxfEntBlock: void addEntityAttdef(com.ysystems.ycad.lib.yxxf.YxxfEnt)>",1,19,1,1,0.94736844,0,5,1.0,114
"<com.ysystems.ycad.lib.yxxf.YxxfEntBlock: void clearAttdefs()>",1,1,1,0,0.0,0,0,0.0,13
"<com.ysystems.ycad.lib.yxxf.YxxfEntBlock: void clearEntities()>",1,1,1,0,0.0,0,0,0.0,13
"<com.ysystems.ycad.lib.yxxf.YxxfEntBlock: void drawNotify()>",1,1,0,0,0.0,0,0,0.0,0
"<com.ysystems.ycad.lib.yxxf.YxxfEntxCommand: boolean setCommandDone(boolean)>",1,1,0,0,0.0,0,0,0.0,0
"<com.ysystems.ycad.lib.yxxf.YxxfEntxCommand: void waitCommandDone()>",2,2884,0,48,0.9993065,0,645,1.0,13908
"<com.ysystems.ycad.lib.yxxf.YxxfGfxContext: void commandGC_rbb_beg(int,int,java.awt.Graphics)>",2,4,0,0,0.5,0,0,0.0,8
"<com.ysystems.ycad.lib.yxxf.YxxfGfxContext: void commandGC_rbb_drag(int,int)>",1,1,0,0,0.0,0,0,0.0,0
"<com.ysystems.ycad.lib.yxxf.YxxfGfxContext: void commandGC_rbb_end(int,int)>",1,1,0,0,0.0,0,0,0.0,0
"<com.ysystems.ycad.lib.yxxf.YxxfGfxContext: void commandGC_rbl_beg(int,int,java.awt.Graphics)>",2,4,0,0,0.5,0,0,0.0,8
"<com.ysystems.ycad.lib.yxxf.YxxfGfxContext: void commandGC_rbl_drag(int,int)>",1,1,0,0,0.0,0,0,0.0,0
"<com.ysystems.ycad.lib.yxxf.YxxfGfxContext: void commandGC_rbl_end(int,int)>",1,1,0,0,0.0,0,0,0.0,0
"<com.ysystems.ycad.lib.yxxf.YxxfGfxContext: void commandGC_set_doing_drawing()>",1,1,0,0,0.0,0,0,0.0,0
"<com.ysystems.ycad.lib.yxxf.YxxfGfxContext: void commandGC_set_doing_quit()>",1,1,0,0,0.0,0,0,0.0,0
"<com.ysystems.ycad.lib.yxxf.YxxfGfxContext: void commandGC_set_doing_redraw()>",1,1,0,0,0.0,0,0,0.0,0
"<com.ysystems.ycad.lib.yxxf.YxxfGfxContext: void commandGC_set_doing_unknown()>",1,1,0,0,0.0,0,0,0.0,0
"<com.ysystems.ycad.lib.yxxf.YxxfGfxContext: void commandGC_set_doing_waiting()>",1,1,0,0,0.0,0,0,0.0,0
"<com.ysystems.ycad.lib.yxxf.YxxfGfxContext: void commandGC_wait()>",1,2,0,0,0.5,0,0,0.0,3
"<com.ysystems.ycad.lib.yxxf.YxxfGfxContext: void commandGC_wait(long)>",1,1,0,0,0.0,0,0,0.0,0
"<com.ysystems.ycad.lib.yxxf.YxxfGfxContext: void drawRBB_end()>",2,2,0,0,0.0,0,0,0.0,0
"<com.ysystems.ycad.lib.yxxf.YxxfGfxContext: void drawRBL_end()>",2,2,0,0,0.0,0,0,0.0,0
"<com.ysystems.ycad.lib.yxxf.YxxfPrtViewHandler: boolean setDrawingViewReady(boolean)>",1,1,0,0,0.0,0,0,0.0,0
"<com.ysystems.ycad.lib.yxxf.YxxfPrtViewHandler: void waitDrawingViewReady()>",2,2884,0,48,0.9993065,0,645,1.0,13908
"<com.ysystems.ycad.lib.yxxf.YxxfSecBlocks: void listBlocks()>",24,7580,17,149,0.9968338,2,1955,0.998978,41348
"<com.ysystems.ycad.lib.yxxf.YxxfShape: boolean setShapeLoaded(boolean)>",1,1,0,0,0.0,0,0,0.0,0
"<com.ysystems.ycad.lib.yxxf.YxxfShape: boolean setShapeReady(boolean)>",1,1,0,0,0.0,0,0,0.0,0
"<com.ysystems.ycad.lib.yxxf.YxxfShape: boolean setShapeWritten(boolean)>",1,1,0,0,0.0,0,0,0.0,0
"<com.ysystems.ycad.lib.yxxf.YxxfShape: void waitShapeLoaded()>",2,2884,0,48,0.9993065,0,645,1.0,13908
"<com.ysystems.ycad.lib.yxxf.YxxfShape: void waitShapeReady()>",2,2884,0,48,0.9993065,0,645,1.0,13908
"<com.ysystems.ycad.lib.yxxf.YxxfShape: void waitShapeWritten()>",2,2884,0,48,0.9993065,0,645,1.0,13908
-,=SUM(B2:B44),=SUM(C2:C44),=SUM(D2:D44),=SUM(E2:E44),=AVERAGE(F2:F44),=SUM(G2:G44),=SUM(H2:H44),=AVERAGE(I2:I44),=SUM(J2:J44)
